Date,Original Description,Amount,Category,Account Name,Matched Category
2023-06-12,external wd paypal 230611ppz2xv,14.99,Transfer,Cash Back Student Checking,
2023-06-11,pos wd  bluefin poke           r,47.74,Restaurants,Cash Back Student Checking,
2023-06-11,pos wd  century theatres 443   r,21.54,Movies & DVDs,Cash Back Student Checking,
2023-06-11,pos wd  apple.com/bill         8,4.99,Electronics & Software,Cash Back Student Checking,entertainment
2023-06-09,now withdrawal  zelle to gregory,88.0,Transfer,Cash Back Student Checking,
2023-06-09,"external dp fisher,maya personal",100.0,Transfer,Cash Back Student Checking,
2023-06-08,external wd americanexpress pers,100.0,Savings,Cash Back Student Checking,savings
2023-06-08,external wd discover dc pymnts d,200.0,Credit Card Payment,Cash Back Student Checking,debt
2023-06-08,external wd americanexpress pers,300.0,Savings,Cash Back Student Checking,savings
2023-06-08,internet transfer to greater nevada credit union dda account xxxxx0651,100.0,Transfer,High Yield Savings Acct,savings
2023-06-07,internet transfer from greater nevada credit union dda account xxxxx0651,100.0,Transfer,High Yield Savings Acct,savings
2023-06-07,internet transfer from greater nevada credit union dda account xxxxx0651,300.0,Transfer,High Yield Savings Acct,savings
2023-06-07,pos wd  tracy legee            h,100.0,Cash & ATM,Cash Back Student Checking,medical-health
2023-06-07,pos wd  in n out burger 377    r,8.39,Fast Food,Cash Back Student Checking,food
2023-06-07,pos wd  costco gas #0025       r,48.39,Gas & Fuel,Cash Back Student Checking,food
2023-06-06,pos wd vca animal 4792 caughlin,119.39,Veterinary,Cash Back Student Checking,
2023-06-06,pos wd  eqt*hometown health pla7,169.54,Health Insurance,Cash Back Student Checking,insurance
2023-06-06,pos wd  anthem blue individual 8,41.93,Health Insurance,Cash Back Student Checking,insurance
2023-06-05,external dp assist-2-sell in wrs,1471.16,Income,Cash Back Student Checking,income
2023-06-04,overdraft protection withdraw,1.09,Bank Fee,Regular Share,
2023-06-04,overdraft protection deposit,1.09,Transfer,Cash Back Student Checking,
2023-06-04,max od access fee (sys)  metlife,35.0,Life Insurance,Cash Back Student Checking,insurance
2023-06-04,pos wd  wild island -admissionss,24.5,Entertainment,Cash Back Student Checking,
2023-06-04,pos wd  metlife pet            h,35.66,Life Insurance,Cash Back Student Checking,insurance
2023-06-03,"pos wd  sq *wild island, inc.  s",19.0,Amusement,Cash Back Student Checking,
2023-06-03,"pos wd  sq *wild island, inc.  s",17.82,Amusement,Cash Back Student Checking,
2023-06-03,pos wd  pp*dutch bros nv0601   g,7.4,Coffee Shops,Cash Back Student Checking,food
2023-06-02,"external dp fisher,maya personal",50.0,Transfer,Cash Back Student Checking,
2023-06-02,pos wd wm supercenter #3254 wal-,17.94,Shopping,Cash Back Student Checking,
2023-06-02,external wd geico  - prem coll,112.88,Auto Insurance,Cash Back Student Checking,insurance
2023-06-02,express internet transfer to greater nevada credit union dda account xxxxx0651,50.0,Transfer,High Yield Savings Acct,savings
2023-06-01,pos wd  venmo*                 v,28.76,Groceries,Cash Back Student Checking,
2023-06-01,pos wd  venmo*                 v,16.36,Groceries,Cash Back Student Checking,
2023-05-31,credit interest,0.01,Interest Income,Regular Share,
2023-05-31,descriptive deposit cash back re,10.0,Transfer,Cash Back Student Checking,
