1,Post Date,Check,Description,Debit,Credit,Status,Balance
1,2/27/2024,,NETFLIX.COM            NETFLIX.COM  CAUS,17.35,,Pending,
1,2/26/2024,,POS WD - AMZN Mktp US*RW8AH1922 Amzn.com/billWAUS,7.57,,Posted,1209.44
1,2/26/2024,,POS WD - AMZN Mktp US*RW4MT49G2 Amzn.com/billWAUS,32.43,,Posted,1217.01
1,2/26/2024,,POS WD - AMZN Mktp US*RZ66B7520 Amzn.com/billWAUS,22.71,,Posted,1249.44
1,2/25/2024,,POS WD - AMZN Mktp US*RW3LC0TY1 Amzn.com/billWAUS,16.79,,Posted,1272.15
1,2/25/2024,,POS WD - SQ *KEVA - NORTHWEST REReno         NVUS,16.76,,Posted,1288.94
1,2/25/2024,,POS WD - VZWRLSS*APOCC VISW     800-922-0204 FLUS,117.01,,Posted,1305.7
1,2/25/2024,,POS WD - ROSS STORES #855       RENO         NVUS,22.16,,Posted,1422.71
1,2/23/2024,,POS WD - TARGET T-1363 6845 Sierra Center PkwyReno         NVUS,55.51,,Posted,1444.87
1,2/23/2024,,POS WD - SAVE MART #554 RENO NV 4995 KIETZKE LANE      RENO         N,21.89,,Posted,1500.38
1,2/23/2024,,NOW Deposit - Zelle From MetGen - +1-800-421-6674,,221.24,Posted,1522.27
1,2/23/2024,,External WD - NV ENERGY NORTH SPPCO - SPPC PYMT,101.63,,Posted,1301.03
1,2/22/2024,,POS WD - Amazon.com*RW4P69RP0   Amzn.com/billWAUS,16.23,,Posted,1402.66
1,2/22/2024,,External WD - AMERICANEXPRESS PERSONAL SAVINGS - TRANSFER,133.34,,Posted,1418.89
1,2/22/2024,,External WD - PAYPAL INSTANT TRANSFER - INST XFER,30.98,,Posted,1552.23
1,2/22/2024,,POS WD - PORT OF SUBS 0010 ONLINolo.com      NVUS,9.2,,Posted,1583.21
1,2/21/2024,,POS WD - 7-ELEVEN 6150 S. Mccarran B US  Reno         NVUS,10.66,,Posted,1592.41
1,2/21/2024,,External DP - ASSIST-2-SELL IN WRS667 02761ASSIS001 - Payroll,,1559.1,Posted,1603.07
1,2/21/2024,,POS WD - AMZN Mktp US*RI9BM4QJ1 Amzn.com/billWAUS,22.72,,Posted,43.97
1,2/21/2024,,POS WD - DMV-44                 775-684-4513 NVUS,3.25,,Posted,66.69
1,2/20/2024,,POS WD - Roku for WarnerMedia Gl816-2728107  DEUS,9.99,,Posted,69.94
1,2/20/2024,,External WD - FARMERS INS  - EFT PYMT,17.21,,Posted,79.93
1,2/20/2024,,External WD - PAYPAL INSTANT TRANSFER - INST XFER,2.99,,Posted,97.14
1,2/20/2024,,External DP - VENMO  - CASHOUT,,50.82,Posted,100.13
1,2/17/2024,,POS WD - VENMO  *Adalyn Osentos Visa Direct  NYUS,28.99,,Posted,49.31
1,2/17/2024,,POS WD - DENTAL INSURANCE AUTOPA877-2804204  CAUS,31.3,,Posted,78.3
1,2/16/2024,,POS WD - Subway 10118           177-58297330 NVUS,9.62,,Posted,109.6
