"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"2/22/2024","VCA ANIMAL HOSP #953 RENO NV
AU953CLT14643","VCA ANIMAL HOSP #953 RENO NV
AU953CLT14643","103.72","debit","Veterinary","DISCOVER IT CHROME CARD","",""
"2/22/2024","VCA ANIMAL HOSP #953 RENO NV
AU953CLT14643","VCA ANIMAL HOSP #953 RENO NV
AU953CLT14643","46.75","debit","Veterinary","DISCOVER IT CHROME CARD","",""
"2/21/2024","AMZN MKTP US*RW9KG7SU0 AMZN.COM/BILLWA
14APGKPMRLQ","AMZN MKTP US*RW9KG7SU0 AMZN.COM/BILLWA
14APGKPMRLQ","174.73","debit","Shopping","DISCOVER IT CHROME CARD","",""
"2/21/2024","WALMART STORE 02189 RENO NV","WALMART STORE 02189 RENO NV","74.08","debit","Shopping","DISCOVER IT CHROME CARD","",""
"2/20/2024","CHEWY.COM 800-672-4399 FL
PMT-NLTOXXIZQU","CHEWY.COM 800-672-4399 FL
PMT-NLTOXXIZQU","119.06","debit","Pet Food & Supplies","DISCOVER IT CHROME CARD","",""
"2/19/2024","AMAZON PRIME*RW04C0XE0 AMZN.COM/BILLWA
3DV5HVCJACI","AMAZON PRIME*RW04C0XE0 AMZN.COM/BILLWA
3DV5HVCJACI","7.49","debit","Shopping","DISCOVER IT CHROME CARD","",""
"2/19/2024","RAISING CANES 0432 RENO NV
01925P","RAISING CANES 0432 RENO NV
01925P","12.55","debit","Restaurants","DISCOVER IT CHROME CARD","",""
"2/18/2024","AMZN MKTP US*RW2FQ61I0 AMZN.COM/BILLWA
48A7NUFOU4Z","AMZN MKTP US*RW2FQ61I0 AMZN.COM/BILLWA
48A7NUFOU4Z","26.84","debit","Shopping","DISCOVER IT CHROME CARD","",""
"2/17/2024","CASHBACK BONUS REDEMPTION PYMT/STMT CRDT","CASHBACK BONUS REDEMPTION PYMT/STMT CRDT","13.95","credit","Bonus","DISCOVER IT CHROME CARD","",""
"2/16/2024","WALMART STORE 02189 RENO NV","WALMART STORE 02189 RENO NV","56.36","debit","Shopping","DISCOVER IT CHROME CARD","",""
"2/16/2024","INTEREST CHARGE ON PURCHASES","INTEREST CHARGE ON PURCHASES","233.35","debit","Finance Charge","DISCOVER IT CHROME CARD","",""
